J,n,design,time_old,MISEeigen_old,MSEscore_old,time_new,MISEeigen_new,MSEscore_new,
100,100,regular,0.0110100913047791,0.0329405884665013,0.0252223172813878,0.0268108534812927,0.0309911846544506,0.0241005612590627,
200,100,regular,0.00700860738754272,0.0154928461540795,0.0132578830234558,0.0174859380722046,0.0142908951394341,0.0126398045374744,
500,100,regular,0.0109172940254211,0.00699551575254045,0.00686547955973858,0.0341413855552673,0.00627929108961019,0.00656701488253076,
100,1000,regular,0.0171365594863892,0.0335538156185439,0.0234550076246611,0.0730608177185059,0.0333895919632149,0.0233520272263179,
200,1000,regular,0.0268574619293213,0.0142788561127379,0.010918335148225,0.0951397395133972,0.0141978766999101,0.0108687702664544,
500,1000,regular,0.0883926796913147,0.00609292114236498,0.00464821579984106,0.192099814414978,0.00606234627197938,0.00463015661260617,
100,10000,regular,0.211970021724701,0.0341226642755936,0.0234456686020825,0.449186434745789,0.034122664275704,0.0234456686021121,
200,10000,regular,0.360747096538544,0.0144297796539662,0.010808538836974,0.463381774425507,0.0144297796539795,0.0108085388369746,
500,10000,regular,0.721320066452026,0.00604439838344214,0.00447539052184526,0.982887282371521,0.00604439838345966,0.0044753905218514,
100,100,irregular,0.03864901304245,0.0318150833799129,0.0268220731035972,0.0686055707931519,0.0301166179743609,0.0257577065632715,
200,100,irregular,0.0740088486671448,0.0155083332364992,0.0155491865489979,0.102543208599091,0.0144493261596045,0.014891244849173,
500,100,irregular,0.171731815338135,0.00704164320210435,0.00933624583013489,0.230974957942963,0.00642735183283413,0.00897614767379316,
100,1000,irregular,0.119678206443787,0.0325263014203026,0.0231314792071538,0.147858347892761,0.0323782409502954,0.0230276681399257,
200,1000,irregular,0.225134117603302,0.0141445051297969,0.0109809517397012,0.269392383098602,0.0140721010227857,0.0109291138632694,
500,1000,irregular,0.56176283121109,0.00624980738353141,0.00480606975122175,0.646715402603149,0.0062237229432088,0.00478468570710156,
100,10000,irregular,0.88984756231308,0.033863673414865,0.0233375658203137,0.998970713615417,0.033863673415044,0.0233365994964066,
200,10000,irregular,1.62310274124146,0.0143975322649815,0.0107899575489162,1.82130791664124,0.0143975322650118,0.0107887472367597,
500,10000,irregular,5.91024267911911,0.00605972690519611,0.00448294432795057,7.42223760843277,0.00605972690523161,0.0044826427106655,
